Company,Sector,,Assets&nbsp;%
Axis Bank Ltd. (15-Jul-25),Certificate of Deposit,CRISIL A1+,0.40
National Bank For Agriculture & Rural Development (22-Jan-26),Certificate of Deposit,CRISIL A1+,0.39
Indian Bank (04-Dec-25),Certificate of Deposit,CRISIL A1+,0.37
Punjab National Bank (15-May-25),Certificate of Deposit,CRISIL A1+,0.33
Canara Bank (02-Sep-25),Certificate of Deposit,CRISIL A1+,0.32
HDFC Bank Ltd. (10-Oct-25),Certificate of Deposit,CARE A1+,0.32
364 Days Treasury Bill - 04-Dec-2025,Treasury Bills,Sovereign,0.32
Kotak Mahindra Bank Ltd. (11-Dec-25),Certificate of Deposit,CRISIL A1+,0.31
Canara Bank (12-Dec-25),Certificate of Deposit,CRISIL A1+,0.31
National Bank For Agriculture & Rural Development (20-Jan-26),Certificate of Deposit,CRISIL A1+,0.31
ICICI Bank Ltd. (27-Jun-25),Certificate of Deposit,ICRA A1+,0.30
National Bank For Agriculture & Rural Development (24-Jun-25),Certificate of Deposit,CRISIL A1+,0.22
Indian Bank (20-Aug-25),Certificate of Deposit,CRISIL A1+,0.21
Kotak Mahindra Bank Ltd.  (22-Aug-25),Certificate of Deposit,CRISIL A1+,0.21
Kotak Mahindra Bank Ltd. (04-Dec-25),Certificate of Deposit,CRISIL A1+,0.21
HDFC Bank Ltd. (04-Dec-25),Certificate of Deposit,CRISIL A1+,0.21
HDFC Bank Ltd. (11-Jul-25),Certificate of Deposit,CARE A1+,0.19
Axis Bank Ltd. (05-Jun-25),Certificate of Deposit,CRISIL A1+,0.16
Axis Bank Ltd. (10-Oct-25),Certificate of Deposit,CRISIL A1+,0.16
National Bank For Agriculture & Rural Development (20-Jun-25),Certificate of Deposit,CRISIL A1+,0.14
Axis Bank Ltd. (09-Oct-25),Certificate of Deposit,CRISIL A1+,0.13
HDFC Bank Ltd. (18-Dec-25),Certificate of Deposit,CARE A1+,0.13
364 Days Treasury Bill - 21-Nov-2025,Treasury Bills,Sovereign,0.12
Bank of Baroda (05-May-25),Certificate of Deposit,IND A1+,0.11
Kotak Mahindra Bank Ltd.  (09-May-25),Certificate of Deposit,CRISIL A1+,0.11
Indian Bank (23-May-25),Certificate of Deposit,CRISIL A1+,0.11
364 Days Treasury Bill - 07-Aug-2025,Treasury Bills,Sovereign,0.11
Kotak Mahindra Bank Ltd. (24-Jul-25),Certificate of Deposit,CRISIL A1+,0.11
HDFC Bank Ltd. (22-Aug-25),Certificate of Deposit,CARE A1+,0.11
Axis Bank Ltd. (22-Aug-25),Certificate of Deposit,CRISIL A1+,0.11
HDFC Bank Ltd. (31-Oct-25),Certificate of Deposit,CRISIL A1+,0.11
Axis Bank Ltd. (13-Nov-25),Certificate of Deposit,CRISIL A1+,0.11
Kotak Mahindra Bank Ltd.  (26-Nov-25),Certificate of Deposit,CRISIL A1+,0.10
Union Bank of India (04-Dec-25),Certificate of Deposit,ICRA A1+,0.10
Canara Bank (04-Dec-25),Certificate of Deposit,CRISIL A1+,0.10
Union Bank of India (05-Dec-25),Certificate of Deposit,ICRA A1+,0.10
364 Days Treasury Bill - 27-Nov-25,Treasury Bills,Sovereign,0.05
Indian Bank (06-Nov-25),Certificate of Deposit,CRISIL A1+,0.05
ICICI Bank Ltd. (25-Jul-25),Certificate of Deposit,ICRA A1+,0.03
Total,,,9.96
Instrument,,,Assets%
Clearing Corporation Of India Ltd.,,,9.52
Net Current Asset,,,-0.05
Total,,,9.47
Grand Total,,,100
